,Title,Year,Authors,Venue,URL,Group,Abstract,Keywords
19,Hessenberg varieties,1992,"De Mari F., Procesi C., Shayman M.A.",Transactions of the American Mathematical Society,https://doi.org/10.1090/S0002-9947-1992-1043857-6,CHarML,"Numerical algorithms involving Hessenberg matrices correspond to dynamical systems which evolve on the subvariety of complete flags S1⊂S2⊂⋯⊂Sn−1 in Cn satisfying the condition s⁡(Si)⊂Si+1, ∀i, where s is an endomorphism of Cn. This paper describes the basic topological features of the generalization to subvarieties of G/B, G a complex semisimple algebraic group, which are indexed by certain subsets of negative roots. In the special case where the subset consists of the negative simple roots, the variety coincides with the torus embedding associated to the decomposition into Weyl chambers.",
20,Identifying multiple motions from optical flow,1992,"Rognone A., Campani M., Verri A.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://doi.org/10.1007/3-540-55426-2_29,PiMLB,"This paper describes a method which uses optical flow, that is, the apparent motion of the image brightness pattern in time-varying images, in order to detect and identify multiple motions. Homogeneous regions are found by analysing local linear approximations of optical flow over patches of the image plane, which determine a list of the possibly viewed motions, and, finally, by applying a technique of stochastic relaxation. The presented experiments on real images show that the method is usually able to identify regions which correspond to the different moving objects, is also rather insensitive to noise, and can tolerate large errors in the estimation of optical flow.","Apparent Motion, Image Plane, Optical Flow, Real Image, Vector Field"
21,Motion analysis from first-order properties of optical flow,1992,"Campani M., Verri A.",CVGIP: Image Understanding,https://doi.org/10.1016/1049-9660(92)90088-K,PiMLB, , 
22,On the use of size functions for shape analysis,1993,"Verri A., Uras C., Frosini P., Ferri M.","Proceedings - IEEE Workshop on Qualitative Vision, WQV 1993",https://doi.org/10.1109/WQV.1993.262946,PiMLB,"According to a recent mathematical theory a shape can be represented by functions, named size functions, which convey information on both the topological and metric properties of the viewed shape. The relevance of the theory of size functions to computer vision is investigated. An algorithm for the computation of the size functions is presented and many theoretical properties of the theory are demonstrated on real images. It is shown that the representation of shape in terms of size functions (i) can be tailored to suit the invariance of the problem at hand and (ii) is stable against small qualitative and quantitative changes of the viewed shape. A distance between size functions is used as a similarity measure between the representation of two different shapes. The obtained results indicate that size functions are likely to be very useful for object recognition. In particular, they seem to be well suited for the recognition of natural and articulated objects.<>","Character recognition, Humans, Image recognition, Independent component analysis, Information analysis, Manufacturing, Object recognition, Shape measurement, Size measurement, Visual system"
23,Vehicle guidance from one dimensional optical flow,1993,"De Micheli E., Verri A.","IEEE Intelligent Vehicles Symposium, Proceedings",https://doi.org/10.1109/IVS.1993.697319,PiMLB,,"Angular velocity, Biomedical optical imaging, Cameras, Error analysis, Image motion analysis, Mobile robots, Navigation, Optical computing, Optical devices, Remotely operated vehicles"
24,Geometric phase and sequential measurements in quantum mechanics,1994,"Cassinelli G., De Vito E., Lahti P., Levrero A.",Physical Review A,https://doi.org/10.1103/PhysRevA.49.3229,CHarML,A rule is proposed to calculate the geometric phase accumulating in the course of a sequential measurement process. This rule is based on the assumptions of a sequential conditioning and a geodesic hypothesis. The dependence of this phase on the type of the applied measurements is explicated.,
25,Invariant size functions,1994,"Verri A., Uras C.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://doi.org/10.1007/3-540-58240-1_12,PiMLB,"Size functions are integer valued functions of two real variables which represent metric and topological properties of visual shape. In this paper size functions invariant for transformations of increasing generality are presented and discussed. Experiments on synthetically generated and real images show that by means of size functions invariant for Euclidean, affine, or projective transformations it is possible to identify similar shapes and distinguish between different shapes independently of the observer viewpoint. Since size functions are inherently robust against small qualitative and quantitative changes in the apparent shape of the viewed objects, it is concluded that size functions can be useful for viewpoint invariant recognition of natural shapes.","Affine Transformation, Measuring Function, Projective Transformation, Real Image, Size Function"
26,Properties of the range of a state operator,1994,"Cassinelli G., De Vito E., Lahti P.",Reports on Mathematical Physics,https://doi.org/10.1016/0034-4877(94)90037-X,CHarML,"This paper presents a study of the closure of the range, the rsnge of the square root, and the range of a state operator which arises in the context of quantum theory of measurement as the state of an apparatus after the measurement. The results obtained are placed in the context of the theory of bases in Banach spaces. Physical relevance of these results is also discussed.",
27,Short communication: Pancharatnam’s phase for polarized light,1994,"De Vito E., Levrero A.",Journal of Modern Optics,https://doi.org/10.1080/09500349414552091,CHarML, , 
28,Analysis of second order differential operators with complex coefficients on the Heisenberg group,1995,"De Mari F., Peloso M.M., Ricci F.",Journal fur die Reine und Angewandte Mathematik,https://doi.org/10.1515/crll.1995.464.67,CHarML, , 
29,Aspect-based object recognition with size functions,1996,"Verri A., Uras C.",Proceedings - International Conference on Pattern Recognition,https://doi.org/10.1109/ICPR.1996.546111,PiMLB,"An aspect-based system for the recognition of 3D objects from single view is presented. The system is based on the computation of size functions and consists of two stages: 1) models of the various aspects of the objects in a set are acquired from the corresponding edge maps, each model is represented by a feature vector and a training set is formed; and 2) a feature vector representing the shape of an object from a single previously unseen image is constructed and classified according to a k-nearest neighbour technique. The system was tested on a set of thirteen toy cars arbitrarily positioned on a turntable and viewed from a fixed, uncalibrated camera, and compared against methods based on moments (MB) and on Hausdorff distance (HDB). Since the system outperforms MB methods in terms of percentages of success and the HDB method in terms of efficiency, it is concluded that size functions can be very useful for aspect-based recognition.","Angular velocity, Cameras, Object recognition, Shape, Solid modeling, System testing, Two dimensional displays, Visual perception"
30,Metric-topological approach to shape representation and recognition,1996,"Verri A., Uras C.",Image and Vision Computing,https://doi.org/10.1016/0262-8856(95)01056-4,PiMLB,"Visual shape can be represented by means of certain integer valued functions of two real variables called size functions. This paper presents the theory of size functions in detail and discusses several useful properties of size functions, like stability to small shape changes and invariance to transformations of increasing generality. Then, a scheme for shape recognition based on size functions is described and tested on a study case. It is concluded that size functions can be very useful for shape representation and recognition.","Shape recognition, Shape representation, Size functions"
31,Spaces of improper rational matrices and ARMA-systems of fixed McMillan degree,1996,"De Mari F., Glusing-Luerssen H.","Journal of Mathematical Systems, Estimation, and Control",https://scholar.lib.vt.edu/ejournals/JMSEC/v5n1/02894.pdf,CHarML, , 
32,The Weyl group as fixed point set of smooth involutions,1996,De Mari F.,Journal of Lie Theory,https://www.heldermann-verlag.de/jlt/jlt06/MARILAT.PDF,CHarML,"We show that the Weyl group W = M /M of a noncompact semisimple Lie group is obtained by taking ﬁxed point sets of smooth involutions in K/M . More precisely, one considers ﬁrst the ﬁxed point set X of the involutions deﬁned on K/M by the elements of order 2 in exp ia. The Weyl group is either X , or the ﬁxed point set of the involutions deﬁned on X by special elements of order 4 in exp ia.",
33,Computing Size Functions from Edge Maps,1997,"Uras C., Verri A.",International Journal of Computer Vision,https://doi.org/10.1023/A:1007910913691,PiMLB,"Size functions are integer valued functions of two real variables which have been recently proposed for the representation and recognition of shape. A main limitation of the theory of size functions appeared to be the fragility of the produced representation with respect to edge fragmentation. In this paper it is shown that size functions can actually be defined without making assumptions on the topological structure of the viewed shape. Consequently, size functions can be profitably used even in the presence of fragmented edge maps. In order to demonstrate the potential of size functions for computer vision, a system for shape recognition is described and tested on two different domains. The very good performances of the system indicate that size functions are extremely effective for the analysis of shapes for which geometric models might be difficult to obtain.",
34,Direct aspect-based 3-d object recognition,1997,"Pontil M., Verri A.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://doi.org/10.1007/3-540-63508-4_136,PiMLB,"In this paper a method for 3-D object recognition based on Support Vector Machines (SVM) is proposed. Given a set of points which belong to either of two classes, a SVM finds the hyperplane that leaves the largest possible fraction of points of the same class on the same side, while maximizing the distance of the closest point. Recognition with SVMs does not require feature extraction and can be performed directly on images regarded as points of an N-dimensional object space. The potential of the proposed method is illustrated on a database of 7200 images of 100 different objects. The excellent recognition rates achieved in all the performed experiments indicate that the method is well-suited for aspect-based recognition.",
35,Integrability of the quantum adiabatic evolution and geometric phases,1997,"Cassinelli G., De Vito E., Levrero A.",Journal of Mathematical Physics,https://doi.org/10.1063/1.532204,CHarML,We show that the cyclic adiabatic evolution of a quantum system is completely integrable as a classical Hamiltonian system. In this context the Berry phases arise naturally as cohomology of the invariant tori.,
36,On the decompositions of a quantum state,1997,"Cassinelli G., De Vito E., Levrero A.",Journal of Mathematical Analysis and Applications,https://doi.org/10.1006/jmaa.1997.5480,CHarML,We classify all the decompositions of a quantum state as a weighted sum of one dimensional projectors. In particular we describe explicitly the set of irreducible decompositions. The physical interest in this problem rests on the possibility of interpreting the decomposition in terms of a classical mixture.,
37,Symmetry groups in quantum mechanics and the theorem of wigner on the symmetry transformations,1997,"Cassinelli G., De Vito E., Lahti P., Levrero A.",Reviews in Mathematical Physics,https://doi.org/10.1142/S0129055X97000324,CHarML,Various mathematical formulations of the symmetry group in quantum mechanics are investigated and shown to be mutually equivalent. A new proof of the theorem of Wigner on the symmetry transformations is worked out.,
38,Finding the epipole from uncalibrated optical flow,1998,"Verri A., Trucco E.",Proceedings of the IEEE International Conference on Computer Vision,https://ieeexplore.ieee.org/document/710836,PiMLB,"This paper presents a novel method for determining the location of the instantaneous epipole in a sequence of images acquired by an uncalibrated camera and containing a single, rigid motion (e.g., the camera moves in a static environment). The method uses the full perspective camera model and requires the estimation of the optical flow at a minimum of six image locations. The key observation is that the optical flow equations can be written in terms of the epipole in a strikingly simple form if the translational and rotational flow components are not separated as done usually. The epipole location can then be obtained as the minimum of a least-square residual function associated to the computed optical flow. We report and discuss initial experiments on both synthetic and real data and illustrate possible developments of this method towards the use of uncalibrated optical flow for 3-D motion and structure reconstruction.","Cameras, Equations, Geometry, Image motion analysis, Image reconstruction, Minimization methods, Noise robustness, Optical computing, Optical devices, Tensile stress"
39,Properties of Support Vector Machines,1998,"Pontil M., Verri A.",Neural Computation,https://doi.org/10.1162/089976698300017575,PiMLB,"Support vector machines (SVMs) perform pattern recognition between two point classes by finding a decision surface determined by certain points of the training set, termed support vectors (SV). This surface, which in some feature space of possibly infinite dimension can be regarded as a hyperplane, is obtained from the solution of a problem of quadratic programming that depends on a regularization parameter. In this article, we study some mathematical properties of support vectors and show that the decision surface can be written as the sum of two orthogonal terms, the first depending on only the margin vectors (which are SVs lying on the margin), the second proportional to the regularization parameter. For almost all values of the parameter, this enables us to predict how the decision surface varies for small parameter changes. In the special but important case of feature space of finite dimension m, we also show that there are at most m + 1 margin vectors and observe that m + 1 SVs are usually sufficient to determine the decision surface fully. For relatively small m, this latter result leads to a consistent reduction of the SV number.",
40,Recognizing 3-D objects with linear support vector machines,1998,"Pontil M., Rogai S., Verri A.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://doi.org/10.1007/BFb0054759,PiMLB,"In this paper we propose a method for 3-D object recognition based on linear Support Vector Machines (SVMs). Intuitively, given a set of points which belong to either of two classes, a linear SVM finds the hyperplane leaving the largest possible fraction of points of the same class on the same side, while maximizing the distance of either class from the hyperplane. The hyperplane is determined by a subset of the points of the two classes, named support vectors, and has a number of interesting theoretical properties. The proposed method does not require feature extraction and performs recognition on images regarded as points of a space of high dimension. We illustrate the potential of the recognition system on a database of 7200 images of 100 different objects. The remarkable recognition rates achieved in all the performed experiments indicate that SVMs are well-suited for aspect-based recognition, even in the presence of small amount of occlusions.","Linear Support Vector Machine, Margin Vector, Object Pair, Object Space, Support Vector Machine"
41,Square-integrability of induced representations of semidirect products,1998,"Aniello P., Cassinelli G., De Vito E., Levrero A.",Reviews in Mathematical Physics,https://doi.org/10.1142/S0129055X98000094,CHarML,"We consider a semidirect product G=A×′H, with A abelian, and its unitary representations of the form where x0 is in the dual group of A, G0 is the stability group of x0 and m is an irreducible unitary representation of G0∩H. We give a new selfcontained proof of the following result: the induced representation is square-integrable if and only if the orbit G[x0] has nonzero Haar measure and m is square-integrable. Moreover we give an explicit form for the formal degree of .",
42,Support vector machines for 3D object recognition,1998,"Pontil M., Verri A.",IEEE Transactions on Pattern Analysis and Machine Intelligence,https://doi.org/10.1109/34.683777,PiMLB,"Support vector machines (SVMs) have been recently proposed as a new technique for pattern recognition. Intuitively, given a set of points which belong to either of two classes, a linear SVM finds the hyperplane leaving the largest possible fraction of points of the same class on the same side, while maximizing the distance of either class from the hyperplane. The hyperplane is determined by a subset of the points of the two classes, named support vectors, and has a number of interesting theoretical properties. In this paper, we use linear SVMs for 3D object recognition. We illustrate the potential of SVMs on a database of 7200 images of 100 different objects. The proposed system does not require feature extraction and performs recognition on images regarded as points of a space of high dimension without estimating pose. The excellent recognition rates achieved in all the performed experiments indicate that SVMs are well-suited for aspect-based recognition.","Colored noise, Computer vision, Feature extraction, Image databases, Image recognition, Object recognition, Pattern recognition, Spatial databases, Support vector machines, Testing"
43,Symmetries of the quantum state space and group representations,1998,"Cassinelli G., De Vito E., Lahti P., Levrero A.",Reviews in Mathematical Physics,https://doi.org/10.1142/S0129055X9800029X,CHarML,"The homomorphisms of a connected Lie group G into the symmetry group of a quantum system are classified in terms of unitary representations of a simply connected Lie group associated with G. Moreover, an explicit description of the T-multipliers of G is obtained in terms of the ℝ-multipliers of the universal covering G* of G and the characters of G*. As an application, the Poincaré group and the Galilei group, both in 3+1 and 2+1 dimensions, are considered.",
44,The Nearest-Neighbor Technique for particle identification,1998,"Pallavicini M., Patrignani C., Pontil M., Verri A.","Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",https://doi.org/10.1016/S0168-9002(97)01195-9,PiMLB,"In this paper we propose the Nearest-Neighbor Technique (NNT), a classical nonparametric method of Pattern Recognition, for addressing Particle Identification (PID) problems. Given a set of correctly identified events and a distance measure between events, the NNT assigns a previously unseen event the same class of the nearest event in the set. The NNT can be applied to correlated data with virtually no preprocessing and does not require assumptions on the shape of the various probability distributions. We compare the performance of NNT on electron identification in experiment E760 at FNAL against a standard likelihood technique, and find that NNT gives better results, particularly in the rejection rates. We conclude that NNT, which is conceptually clear and easy to implement and use, can be very useful for PID.","Particle identification, Pattern recognition, Statistical analysis"
45,Wavelet transforms and discrete frames associated to semidirect products,1998,"Aniello P., Cassinelli G., De Vito E., Levrero A.",Journal of Mathematical Physics,https://doi.org/10.1063/1.532479,CHarML,"We consider a semidirect product G=ℝ𝑛×′𝐻 and its unitary representations 𝑈 of the form Ind𝐺𝐺0(p0m) where Ind is the unitary induction, 𝑝0 is in the dual group of ℝ𝑛, 𝐺0 is the stability group of 𝑝0, and 𝑚 is a unitary representation of 𝐺0∩H. We give sufficient conditions such that 𝑈 defines a wavelet transform and a discrete frame.",
46,A note on support vector machine degeneracy,1999,"Rifkin R., Pontil M., Verri A.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://doi.org/10.1007/3-540-46769-6_21,PiMLB,"When training Support Vector Machines (SVMs) over nonseparable data sets, one sets the threshold b using any dual cost coefficient that is strictly between the bounds of 0 and C. We show that there exist SVM training problems with dual optimal solutions with all coefficients at bounds, but that all such problems are degenerate in the sense that the “optimal separating hyperplane” is given by w = 0, and the resulting (degenerate) SVM will classify all future points identically (to the class that supplies more training data). We also derive necessary and sufficient conditions on the input data for this to occur. Finally, we show that an SVM training problem can always be made degenerate by the addition of a single data point belonging to a certain unbounded polyhedron, which we characterize in terms of its extreme points and rays.","Dual Optimal Solution, Problem Degenerate, Single Data Point, Support Vector Machine, Training Support Vector Machine"
